lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg,bank_std_deg,bank_range_deg,bank_masd_deg
-32.08097424242424,116.90659696969698,11115.0,11136.0,0.9774138904572964,20.525691699603225,21.0,200,,103.81957821639442,96.38649453331983,192.77298906663967,41.33375320840172,7.100146638420375,29.135884721791356,5.944493378808582
-32.07508253968254,116.89919920634921,11210.0,11230.0,2.3506493506493515,47.01298701298703,20.0,202,,104.3973017287354,92.3074811976906,184.6149623953812,42.882345533821045,5.856358949595711,22.481791969319723,6.5221894773655364
-32.07511833333333,116.89817083333335,11230.0,11249.0,2.0406015037593757,38.77142857142814,19.0,204,,107.68594693847926,90.45451788306113,180.90903576612226,45.23837807179893,4.237330910847479,15.852340789310155,5.682832616306923
-32.075315942028986,116.89698695652173,11249.0,11271.0,1.5286561264821872,33.63043478260812,22.0,206,,105.46754390033887,102.57916134583581,205.15832269167163,40.46127848836054,5.369556147346939,18.52071367057009,7.4554156350779355
-32.075745454545455,116.89558030303031,11271.0,11292.0,1.2941840767926993,27.177865612646684,21.0,208,,107.5645200773752,99.86331291779315,199.7266258355863,42.34269805277851,6.045420627714732,23.541199388359487,8.465024338643582
-31.89993965517241,116.78875287356323,12085.0,12113.0,1.64532019704431,46.068965517240684,28.0,210,,112.9229588416133,139.78414401937536,279.5682880387507,35.66010651803178,13.150703994773913,52.9406349174456,11.444017932774408
-31.89929702380952,116.78695000000002,12113.0,12140.0,1.4351395730706267,38.74876847290692,27.0,212,,114.6302714801339,136.82980750521918,273.65961501043836,37.065301246912306,5.0937896061173324,19.806644260001978,4.96778770766254
-31.899422222222217,116.78557569444445,12140.0,12163.0,1.2343478260869296,28.389999999999382,23.0,214,,115.45229191060429,117.39457439550156,234.78914879100313,41.766926543033534,6.861324517836133,27.71660904749776,7.822054849654674
-31.899158333333336,116.78464226190476,12163.0,12190.0,0.8965517241379437,24.20689655172448,27.0,216,,113.3676329961984,135.32264383479625,270.6452876695925,36.76055819088757,7.339242577549867,31.988141982945923,7.039180423636835
-31.899678160919542,116.78350344827585,12190.0,12218.0,1.204433497536968,33.7241379310351,28.0,218,,108.46563375578485,134.266547083109,268.533094166218,34.5744399392578,6.762873676742347,26.274840007625144,6.895285240412255
-31.901435,116.78083,12252.0,12281.0,1.0095661846495545,29.27741935483708,29.0,220,,108.185574272103,138.70272182849345,277.4054436569869,33.572709797289164,10.255076431619198,36.85476174149683,7.681881728185917
-31.90146091954023,116.78018275862068,12281.0,12309.0,1.419211822660086,39.73793103448241,28.0,222,,107.10136966781499,132.57776306868442,265.15552613736884,34.23634413326832,11.85562686155531,45.26195228796365,8.845042148537223
-31.901514666666667,116.77911666666665,12309.0,12333.0,1.4253846153846357,34.209230769231254,24.0,224,,106.4080507420756,112.90244840249703,225.80489680499406,38.26667844521012,6.923727953634412,28.276888448407547,9.684468793974805
-31.901617857142856,116.77778095238095,12333.0,12360.0,1.3741105637657687,37.10098522167576,27.0,226,,108.9717690308729,130.07546774048805,260.1509354809761,35.680481723487375,6.564081869132464,28.422808946022542,8.30386135896117
-31.901408585858587,116.77568787878788,12360.0,12392.0,0.2700534759357565,8.641711229944208,32.0,228,,108.39478612553576,153.34725348682497,306.69450697364994,31.07536265507383,7.676097834920208,35.208354483949506,7.336745409351617
-31.854999462365598,116.78192580645162,12641.0,12671.0,-0.10887096774196693,-3.2661290322590077,30.0,230,,106.0796146526313,140.69245861041435,281.3849172208287,32.17395956982746,9.437384118501104,38.68516678655909,9.692656857976022
-31.85653024691358,116.80176790123458,12830.0,12856.0,0.6031746031746356,15.682539682540524,26.0,232,,107.74414513134509,123.84676262735212,247.69352525470424,36.400372301951315,9.443428311931699,30.04692854584644,10.931346922531954
-31.857252525252527,116.80017929292927,12856.0,12888.0,1.2673796791443193,40.556149732618216,32.0,234,,99.72120363723567,141.07664435501823,282.15328871003646,29.005254449699702,8.571379525341356,32.69352441202751,10.191258049675067
-32.13194022988506,116.98280459770115,14263.0,14291.0,-1.9970443349753655,-55.917241379310234,28.0,236,,112.69546451283519,139.50253520976108,279.00507041952216,35.605395283205894,13.656408254299023,56.60277102790647,10.500213232580316
-32.131728,116.97898533333336,14291.0,14315.0,1.0115384615384626,24.276923076923104,24.0,238,,110.86818842572134,117.6348014639814,235.2696029279628,39.415820333824584,11.744021253891368,62.798240578871855,6.466361877581198
