x_bin,count,mean,median,p95,x_mid
"[181.09,181.59)",,,,,181.34061380536775
"[181.59,182.08)",2.0,19.0,19.0,19.0,181.83540402038923
"[182.08,182.58)",3.0,18.333333333333332,20.0,20.9,182.33019423541072
"[182.58,183.07)",2.0,22.5,22.5,23.85,182.82498445043217
"[183.07,183.57)",3.0,23.0,23.0,23.9,183.31977466545362
"[183.57,184.06)",2.0,19.0,19.0,22.6,183.8145648804751
"[184.06,184.56)",,,,,184.30935509549658
"[184.56,185.05)",5.0,21.2,22.0,23.0,184.80414531051804
"[185.05,185.55)",2.0,21.0,21.0,21.9,185.2989355255395
"[185.55,186.04)",1.0,20.0,20.0,20.0,185.79372574056097
"[186.04,186.54)",1.0,18.0,18.0,18.0,186.28851595558245
"[186.54,187.03)",2.0,20.5,20.5,22.75,186.7833061706039
"[187.03,187.53)",4.0,19.75,20.5,23.549999999999997,187.27809638562536
"[187.53,188.02)",,,,,187.77288660064684
"[188.02,188.52)",1.0,24.0,24.0,24.0,188.26767681566832
"[188.52,189.01)",,,,,188.76246703068978
"[189.01,189.50)",2.0,22.0,22.0,22.0,189.25725724571123
"[189.50,190.00)",1.0,23.0,23.0,23.0,189.7520474607327
"[190.00,190.49)",,,,,190.2468376757542
"[190.49,190.99)",1.0,20.0,20.0,20.0,190.74162789077565
"[190.99,191.48)",1.0,13.0,13.0,13.0,191.2364181057971
"[191.48,191.98)",,,,,191.73120832081858
"[191.98,192.47)",,,,,192.22599853584006
"[192.47,192.97)",,,,,192.72078875086152
"[192.97,193.46)",,,,,193.21557896588297
"[193.46,193.96)",,,,,193.71036918090445
"[193.96,194.45)",1.0,18.0,18.0,18.0,194.20515939592593
"[194.45,194.95)",,,,,194.69994961094739
"[194.95,195.44)",,,,,195.19473982596884
"[195.44,195.94)",1.0,21.0,21.0,21.0,195.68953004099032
"[195.94,196.43)",,,,,196.1843202560118
"[196.43,196.93)",1.0,17.0,17.0,17.0,196.67911047103325
"[196.93,197.42)",1.0,19.0,19.0,19.0,197.1739006860547
"[197.42,197.92)",1.0,20.0,20.0,20.0,197.6686909010762
"[197.92,198.41)",,,,,198.16348111609767
"[198.41,198.91)",1.0,21.0,21.0,21.0,198.65827133111912
"[198.91,199.40)",1.0,20.0,20.0,20.0,199.15306154614058
"[199.40,199.90)",,,,,199.64785176116206
"[199.90,200.39)",,,,,200.14264197618354
"[200.39,200.88)",1.0,17.0,17.0,17.0,200.637432191205
"[200.88,201.38)",1.0,16.0,16.0,16.0,201.13222240622645
"[201.38,201.87)",1.0,21.0,21.0,21.0,201.62701262124793
"[201.87,202.37)",,,,,202.1218028362694
"[202.37,202.86)",,,,,202.61659305129086
"[202.86,203.36)",,,,,203.11138326631232
"[203.36,203.85)",,,,,203.6061734813338
"[203.85,204.35)",,,,,204.10096369635528
"[204.35,204.84)",,,,,204.59575391137673
"[204.84,205.34)",,,,,205.09054412639819
